ID,sentence,level,hurigana,english,vietnamese,grammar,,1,2,3,4,5,6,7,8,9,10,word1_name,word1_id,word2_name,word2_id,word3_name,word3_id,word4_name,word4_id,word5_name,word5_id,word6_name,word6_id,word7_name,word7_id,word8_name,word8_id,word9_name,word9_id,word10_name,word10_id,word11_name,word11_id,word12_name,word12_id,word13_name,word13_id,word14_name,word14_id,EntityType,length,check
1,わたしは学生です。,1,わたしはがくせいです。,I am a student.,Tôi là học sinh.,1,〜は〜です,あなた,で,せんせい,じゃない,がっこう,こども,も,に,か,まだ,わたし,5074,は,,学生,34,です,,,,,,,,,,,,,,,,,,,,,,Sentence,9,TRUE
2,これはあなたのいすです。,1,これはあなたのいすです。,This is your chair.,Đây là ghế của bạn.,3,〜の（所属）,つくえ,に,を,わたし,ごはん,き,いえ,ます,じゃない,ペン,これ,695,は,,あなた,5075,の,,いす,227,です,,,,,,,,,,,,,,,,,,Sentence,12,TRUE
3,ごはんをたべます。,1,ごはんをたべます。,I eat rice.,Tôi ăn cơm.,81,〜を（基本助詞）,さかな,にく,のむ,たべる,で,に,と,ない,です,かいます,ごはん,160,を,,たべ,309,ます,,,,,,,,,,,,,,,,,,,,,,Sentence,9,TRUE
4,りんごとみかんをかいます。,1,りんごとみかんをかいます。,I buy apples and mandarins.,Tôi mua táo và quýt.,46,助詞 と（並列）,ごはん,のみます,かい,のむ,かう,です,たべる,たべ,のま,も,りんご,191,と,,みかん,193,を,,かいます,275,,,,,,,,,,,,,,,,,,,Sentence,13,TRUE
5,このさかなはおいしいです。,1,このさかなはおいしいです。,This fish is delicious.,Con cá này ngon.,79,い形容詞＋です（肯定）,にく,に,まずい,おいしく,を,まずく,か,ない,すし,たべます,この,693,さかな,4,は,,おいしい,405,です,,,,,,,,,,,,,,,,,,,,Sentence,13,TRUE
6,にほんはきれいです。,1,にほんはきれいです。,Japan is beautiful.,Nhật Bản đẹp.,80,な形容詞＋です（肯定）,かわいい,ない,します,で,に,きたなく,きたない,すきな,じゃ,きれいに,にほん,37,は,,きれい,388,です,,,,,,,,,,,,,,,,,,,,,,Sentence,10,TRUE
7,これはつくえではありません。,1,これはつくえではありません。,This is not a desk.,Đây không phải là cái bàn.,140,〜ではありません,も,いす,です,ない,わたし,いす,へや,かいます,を,わたし,これ,695,は,,つくえ,228,では,,ありません,,,,,,,,,,,,,,,,,,,,Sentence,14,TRUE
8,あなたは先生ですか。,1,あなたはせんせいですか。,Are you a teacher?,Bạn là giáo viên à?,141,ではない（な形容詞の否定）,がくせい,じゃない,わたし,に,で,も,おとうさん,がっこう,ます,おかあさん,あなた,5075,は,,先生,29,です,,か,,,,,,,,,,,,,,,,,,,,Sentence,10,TRUE
9,おねえさんはねこも好きです。,2,おねえさんはねこもすきです。,My older sister also likes cats.,Chị gái tôi cũng thích mèo.,52,助詞 も（主題／列挙）,おにいさん,とり,いもうと,おとうと,ない,では,で,に,を,でしょう,おねえさん,91,は,,ねこ,1,も,,好き,395,です,,,,,,,,,,,,,,,,,,Sentence,14,TRUE
10,おとうとは学校でべんきょうします。,2,おとうとはがっこうでべんきょうします。,My younger brother studies at school.,Em trai tôi học ở trường.,51,助詞 で（場所）,おねえさん,くうこう,ホテル,おにいさん,おとうと,いいます,に,いきます,で,ます,おとうと,92,は,,学校,65,で,,べんきょう,325,します,329,,,,,,,,,,,,,,,,,Sentence,17,TRUE
11,おじいさんは五じまで本をよみます。,2,おじいさんはごじまでほんをよみます。,My grandfather reads books until five o’clock.,Ông tôi đọc sách đến năm giờ.,53,助詞 から〜まで（範囲）,にじ,ごじ,いちじ,に,で,にほんご,いいます,たべます,から,まで,おじいさん,106,は,,五,13,じ,5734,まで,5751,本,560,を,,よみます,274,,,,,,,,,,,,,Sentence,17,TRUE
12,お母さんは七じにあさごはんをたべます。,2,おかあさんはななじにあさごはんをたべます。,My mother eats breakfast at seven o’clock.,Mẹ tôi ăn sáng lúc bảy giờ.,60,時間表現（〜時／〜時に）,おとうさん,おじいさん,おばあさん,ろくじ,はちじ,へ,まで,よるごはん,のみます,ません,お母さん,87,は,,七,15,じ,5734,に,10,あさごはん,171,を,,たべます,309,,,,,,,,,,,,,Sentence,19,TRUE
13,お兄さんは学校からかえります。,2,おにいさんはがっこうからかえります。,My older brother comes home from school.,Anh trai tôi trở về từ trường.,65,場所方向（〜から／まで）,ホテル,おとうさん,おとうと,も,が,へや,いき,ません,ましょう,ある,お兄さん,89,は,,学校,65,から,600,かえり,272,ます,,,,,,,,,,,,,,,,,,Sentence,15,TRUE
14,こうえんに行きましょう。,2,こうえんにいきましょう。,Let’s go to the park.,Hãy đi đến công viên.,71,意向形（〜ましょう）,がっこう,ホテル,くうこう,いき,ます,ません,ない,ましょう,行く,を,こうえん,70,に,10,行き,271,ましょう,,,,,,,,,,,,,,,,,,,,,,Sentence,12,TRUE
15,おとうとはコーヒーをのみません。,2,おとうとはコーヒーをのみません。,My younger brother doesn’t drink coffee.,Em trai tôi không uống cà phê.,78,V + ません,いもうと,おにいさん,おちゃ,ます,すき,たべ,ましょう,ジュース,みず,で,おとうと,92,は,,コーヒー,187,を,,のみ,273,ません,,,,,,,,,,,,,,,,,,Sentence,16,TRUE
16,お父さんはくうこうに行きます。,2,おとうさんはくうこうにいきます。,My father goes to the airport.,Cha tôi đi đến sân bay.,82,〜に（基本助詞）,おかあさん,おじいさん,おばあさん,で,はたらき,かえり,ません,いく,かえる,はたらく,お父さん,85,は,,くうこう,574,に,10,行き,271,ます,,,,,,,,,,,,,,,,,,Sentence,15,TRUE
17,きょうのよるは何をたべますか。,2,きょうのよるはなにをたべますか。,What will you eat tonight?,Tối nay bạn ăn gì?,146,何（疑問詞）,あさ,みず,みせ,ねこ,いえ,ともだち,がっこう,で,かさ,のみます,きょう,247,の,,よる,506,は,,何,398,を,,たべます,309,か,,,,,,,,,,,,,,Sentence,15,TRUE
18,あしたはだれと会いますか。,2,あしたはだれとあいますか。,Who will you meet tomorrow?,Ngày mai bạn gặp ai?,147,誰（疑問詞）,どこ,いき,ほん,すいようび,の,いぬ,が,つくえ,に,ねます,あした,248,は,,だれ,400,と,,会い,278,ます,,か,,,,,,,,,,,,,,,,Sentence,13,TRUE
19,れいぞうこに何かありますか。,2,れいぞうこになにかありますか。,Is there anything in the refrigerator?,Trong tủ lạnh có gì không?,146,何（疑問詞）,まど,を,あけて,つくります,あさごはん,の,おちゃ,に,します,ねこ,れいぞうこ,559,に,10,何か,398,あり,,ます,,か,,,,,,,,,,,,,,,,,,Sentence,14,TRUE
20,へやにだれかいますか。,2,へやにだれかいますか。,Is there anyone in the room?,Trong phòng có ai không?,147,誰（疑問詞）,そと,で,べんきょう,を,のみます,ともだち,に,かさ,は,およぎます,へや,224,に,10,だれか,875,い,2417,ます,,か,,,,,,,,,,,,,,,,,,Sentence,11,TRUE
21,いっしょにテニスをしませんか。,3,いっしょにテニスをしませんか。,Shall we play tennis together?,Cùng chơi tennis nhé?,8,〜ませんか,あそび,ましょう,の,すき,に,おどり,を,よみ,ました,から,いっしょ,591,に,10,テニス,204,を,,し,1660,ません,,か,,,,,,,,,,,,,,,,Sentence,15,TRUE
22,にほんごのノートを見せてください。,3,にほんごのノートをみせてください。,Please show me your Japanese notebook.,Làm ơn cho tôi xem vở tiếng Nhật.,9,Vてください,ほん,を,かりて,おきます,いぬ,と,うた,を,うたい,ます,にほんご,44,の,,ノート,218,を,,見せて,310,ください,,,,,,,,,,,,,,,,,,Sentence,17,TRUE
