PK,SK,word,kanji,EntityType
WORD#1,KANJI#391,猫,猫,WordKanji
WORD#2,KANJI#149,犬,犬,WordKanji
WORD#3,KANJI#82,鳥,鳥,WordKanji
WORD#4,KANJI#83,魚,魚,WordKanji
WORD#5,KANJI#250,馬,馬,WordKanji
WORD#6,KANJI#32,書きます,書,WordKanji
WORD#7,KANJI#12,見ます,見,WordKanji
WORD#8,KANJI#862,捨てます,捨,WordKanji
WORD#9,KANJI#80,一,一,WordKanji
WORD#10,KANJI#72,二,二,WordKanji
WORD#11,KANJI#77,三,三,WordKanji
WORD#12,KANJI#49,四,四,WordKanji
WORD#13,KANJI#71,五,五,WordKanji
WORD#14,KANJI#63,六,六,WordKanji
WORD#15,KANJI#79,七,七,WordKanji
WORD#16,KANJI#64,八,八,WordKanji
WORD#17,KANJI#73,九,九,WordKanji
WORD#18,KANJI#57,十,十,WordKanji
WORD#19,KANJI#80,十一,一,WordKanji
WORD#19,KANJI#57,十一,十,WordKanji
WORD#20,KANJI#72,十二,二,WordKanji
WORD#20,KANJI#57,十二,十,WordKanji
WORD#21,KANJI#49,十四,四,WordKanji
WORD#21,KANJI#57,十四,十,WordKanji
WORD#22,KANJI#57,二十,十,WordKanji
WORD#22,KANJI#72,二十,二,WordKanji
WORD#23,KANJI#57,三十,十,WordKanji
WORD#23,KANJI#77,三十,三,WordKanji
WORD#24,KANJI#80,三十一,一,WordKanji
WORD#24,KANJI#57,三十一,十,WordKanji
WORD#24,KANJI#77,三十一,三,WordKanji
WORD#25,KANJI#16,百,百,WordKanji
WORD#26,KANJI#96,銀行員,銀,WordKanji
WORD#26,KANJI#215,銀行員,員,WordKanji
WORD#26,KANJI#14,銀行員,行,WordKanji
WORD#27,KANJI#239,会社員,会,WordKanji
WORD#27,KANJI#215,会社員,員,WordKanji
WORD#27,KANJI#134,会社員,社,WordKanji
WORD#28,KANJI#123,医者,者,WordKanji
WORD#28,KANJI#223,医者,医,WordKanji
WORD#29,KANJI#66,先生,先,WordKanji
WORD#29,KANJI#19,先生,生,WordKanji
WORD#31,KANJI#192,店員,店,WordKanji
WORD#31,KANJI#215,店員,員,WordKanji
WORD#32,KANJI#161,歌手,歌,WordKanji
WORD#32,KANJI#181,歌手,手,WordKanji
WORD#33,KANJI#520,警察官,官,WordKanji
WORD#33,KANJI#509,警察官,察,WordKanji
WORD#33,KANJI#310,警察官,警,WordKanji
WORD#34,KANJI#41,学生,学,WordKanji
WORD#34,KANJI#19,学生,生,WordKanji
WORD#35,KANJI#525,主婦,婦,WordKanji
WORD#35,KANJI#245,主婦,主,WordKanji
WORD#36,KANJI#48,国,国,WordKanji
WORD#37,KANJI#29,日本,本,WordKanji
WORD#37,KANJI#34,日本,日,WordKanji
WORD#38,KANJI#48,韓国,国,WordKanji
WORD#39,KANJI#48,中国,国,WordKanji
WORD#39,KANJI#74,中国,中,WordKanji
WORD#44,KANJI#10,日本語,語,WordKanji
WORD#44,KANJI#29,日本語,本,WordKanji
WORD#44,KANJI#34,日本語,日,WordKanji
WORD#45,KANJI#48,韓国語,国,WordKanji
WORD#45,KANJI#10,韓国語,語,WordKanji
WORD#46,KANJI#10,中国語,語,WordKanji
WORD#46,KANJI#48,中国語,国,WordKanji
WORD#46,KANJI#74,中国語,中,WordKanji
WORD#47,KANJI#10,英語,語,WordKanji
WORD#47,KANJI#118,英語,英,WordKanji
WORD#48,KANJI#96,銀行,銀,WordKanji
WORD#48,KANJI#14,銀行,行,WordKanji
WORD#49,KANJI#648,郵便局,郵,WordKanji
WORD#49,KANJI#507,郵便局,局,WordKanji
WORD#49,KANJI#599,郵便局,便,WordKanji
WORD#50,KANJI#328,薬屋,薬,WordKanji
WORD#50,KANJI#196,薬屋,屋,WordKanji
WORD#51,KANJI#142,病院,病,WordKanji
WORD#51,KANJI#94,病院,院,WordKanji
WORD#52,KANJI#239,会社,会,WordKanji
